,time,cpu%,mem%
48,20210108-094814,0.0,0.6085633821908367
49,20210108-094817,0.0,0.6085633821908367
50,20210108-094820,0.0,0.6085633821908367
51,20210108-094823,0.0,0.6085633821908367
52,20210108-094826,0.0,0.6085633821908367
53,20210108-094829,0.0,0.6085633821908367
54,20210108-094832,0.0,0.6085633821908367
55,20210108-094835,0.0,0.6085633821908367
56,20210108-094838,0.0,0.6085633821908367
57,20210108-094841,0.0,0.6085633821908367
58,20210108-094844,0.0,0.6085633821908367
59,20210108-094847,0.0,0.6085633821908367
60,20210108-094850,0.0,0.6085633821908367
61,20210108-094853,0.0,0.6085633821908367
62,20210108-094856,0.0,0.6085633821908367
63,20210108-094859,0.0,0.6085633821908367
64,20210108-094902,0.0,0.6085633821908367
65,20210108-094905,0.015,0.6085633821908367
66,20210108-094908,0.0,0.6085633821908367
67,20210108-094911,0.0,0.6085633821908367
68,20210108-094914,0.0,0.6085633821908367
69,20210108-094917,0.0,0.6085633821908367
70,20210108-094920,0.0,0.6085633821908367
71,20210108-094923,0.0,0.6085633821908367
72,20210108-094926,0.0,0.6085633821908367
73,20210108-094929,0.0,0.6085633821908367
74,20210108-094932,0.0,0.6085633821908367
75,20210108-094935,2.415,0.6927777006169138
76,20210108-094938,0.08499999999999999,0.6928627226446029
77,20210108-094941,0.0,0.6928627226446029
78,20210108-094944,0.0,0.6928627226446029
79,20210108-094947,0.015,0.6928627226446029
80,20210108-094950,0.0,0.6928627226446029
81,20210108-094953,0.015,0.6928991606564696
82,20210108-094956,0.0,0.6928991606564696
83,20210108-094959,0.015,0.6928991606564696
84,20210108-095002,0.0,0.6928991606564696
85,20210108-095005,0.0,0.6928991606564696
86,20210108-095008,0.0,0.6928991606564696
87,20210108-095011,0.0,0.6928991606564696
88,20210108-095014,0.0,0.6928991606564696
89,20210108-095017,0.0,0.6928991606564696
90,20210108-095020,0.0,0.6928991606564696
91,20210108-095023,0.0,0.6928991606564696
92,20210108-095026,0.0,0.6928991606564696
93,20210108-095029,0.0,0.6928991606564696
94,20210108-095032,0.0,0.6928991606564696
95,20210108-095035,0.0,0.6928991606564696
96,20210108-095038,0.0,0.6928991606564696
97,20210108-095041,0.0,0.6928991606564696
