,state01,state02,state03,state04,state05,state_p
356,4,4,4,4,4,4
357,4,4,4,4,4,4
358,4,4,4,4,4,4
359,4,4,4,4,4,4
360,4,4,4,4,4,4
361,4,4,4,4,4,4
362,4,4,4,4,4,3
363,4,4,4,4,3,3
364,4,4,4,3,3,3
365,4,4,3,3,3,3
366,4,3,3,3,3,3
367,3,3,3,3,3,4
368,3,3,3,3,4,3
369,3,3,3,4,3,3
370,3,3,4,3,3,3
371,3,4,3,3,3,3
372,4,3,3,3,3,3
373,3,3,3,3,3,3
374,3,3,3,3,3,4
375,3,3,3,3,4,3
376,3,3,3,4,3,3
377,3,3,4,3,3,3
378,3,4,3,3,3,4
379,4,3,3,3,4,4
380,3,3,3,4,4,4
381,3,3,4,4,4,3
382,3,4,4,4,3,4
383,4,4,4,3,4,3
384,4,4,3,4,3,4
385,4,3,4,3,4,3
386,3,4,3,4,3,4
387,4,3,4,3,4,4
388,3,4,3,4,4,4
389,4,3,4,4,4,4
390,3,4,4,4,4,4
391,4,4,4,4,4,4
392,4,4,4,4,4,4
393,4,4,4,4,4,4
394,4,4,4,4,4,4
395,4,4,4,4,4,3
396,4,4,4,4,3,4
397,4,4,4,3,4,4
398,4,4,3,4,4,4
399,4,3,4,4,4,4
400,3,4,4,4,4,4
401,4,4,4,4,4,3
402,4,4,4,4,3,4
403,4,4,4,3,4,3
404,4,4,3,4,3,4
405,4,3,4,3,4,4
406,3,4,3,4,4,4
407,4,3,4,4,4,4
408,3,4,4,4,4,3
409,4,4,4,4,3,3
410,4,4,4,3,3,3
411,4,4,3,3,3,3
412,4,3,3,3,3,3
413,3,3,3,3,3,0
414,3,3,3,3,0,3
415,3,3,3,0,3,3
416,3,3,0,3,3,3
417,3,0,3,3,3,3
418,0,3,3,3,3,4
419,3,3,3,3,4,3
420,3,3,3,4,3,3
421,3,3,4,3,3,4
422,3,4,3,3,4,3
423,4,3,3,4,3,3
424,3,3,4,3,3,4
425,3,4,3,3,4,3
426,4,3,3,4,3,3
427,3,3,4,3,3,3
428,3,4,3,3,3,4
429,4,3,3,3,4,3
430,3,3,3,4,3,3
431,3,3,4,3,3,3
432,3,4,3,3,3,3
433,4,3,3,3,3,4
434,3,3,3,3,4,3
435,3,3,3,4,3,3
436,3,3,4,3,3,4
437,3,4,3,3,4,0
438,4,3,3,4,0,3
439,3,3,4,0,3,3
440,3,4,0,3,3,4
441,4,0,3,3,4,3
442,0,3,3,4,3,3
443,3,3,4,3,3,3
444,3,4,3,3,3,3
445,4,3,3,3,3,0
446,3,3,3,3,0,3
447,3,3,3,0,3,3
448,3,3,0,3,3,3
449,3,0,3,3,3,0
450,0,3,3,3,0,3
451,3,3,3,0,3,3
452,3,3,0,3,3,3
453,3,0,3,3,3,4
454,0,3,3,3,4,3
455,3,3,3,4,3,3
456,3,3,4,3,3,3
457,3,4,3,3,3,4
458,4,3,3,3,4,3
459,3,3,3,4,3,0
460,3,3,4,3,0,3
461,3,4,3,0,3,3
462,4,3,0,3,3,3
463,3,0,3,3,3,4
464,0,3,3,3,4,3
465,3,3,3,4,3,4
466,3,3,4,3,4,3
467,3,4,3,4,3,0
468,4,3,4,3,0,3
469,3,4,3,0,3,3
470,4,3,0,3,3,3
471,3,0,3,3,3,3
472,0,3,3,3,3,3
473,3,3,3,3,3,3
474,3,3,3,3,3,4
475,3,3,3,3,4,3
476,3,3,3,4,3,3
477,3,3,4,3,3,4
478,3,4,3,3,4,3
479,4,3,3,4,3,0
480,3,3,4,3,0,0
481,3,4,3,0,0,0
482,4,3,0,0,0,0
483,3,0,0,0,0,0
484,0,0,0,0,0,0
485,0,0,0,0,0,0
486,0,0,0,0,0,0
487,0,0,0,0,0,0
488,0,0,0,0,0,0
489,0,0,0,0,0,0
490,0,0,0,0,0,0
491,0,0,0,0,0,0
492,0,0,0,0,0,3
493,0,0,0,0,3,0
494,0,0,0,3,0,0
495,0,0,3,0,0,0
496,0,3,0,0,0,0
497,3,0,0,0,0,3
498,0,0,0,0,3,0
499,0,0,0,3,0,0
500,0,0,3,0,0,0
501,0,3,0,0,0,0
502,3,0,0,0,0,0
503,0,0,0,0,0,0
504,0,0,0,0,0,0
505,0,0,0,0,0,0
506,0,0,0,0,0,0
507,0,0,0,0,0,0
508,0,0,0,0,0,0
509,0,0,0,0,0,3
510,0,0,0,0,3,3
511,0,0,0,3,3,4
512,0,0,3,3,4,3
513,0,3,3,4,3,3
514,3,3,4,3,3,4
515,3,4,3,3,4,3
516,4,3,3,4,3,4
517,3,3,4,3,4,4
518,3,4,3,4,4,0
519,4,3,4,4,0,0
520,3,4,4,0,0,0
521,4,4,0,0,0,3
522,4,0,0,0,3,0
523,0,0,0,3,0,3
524,0,0,3,0,3,4
525,0,3,0,3,4,3
526,3,0,3,4,3,4
527,0,3,4,3,4,3
528,3,4,3,4,3,3
529,4,3,4,3,3,4
530,3,4,3,3,4,3
531,4,3,3,4,3,0
532,3,3,4,3,0,3
533,3,4,3,0,3,4
534,4,3,0,3,4,3
535,3,0,3,4,3,3
536,0,3,4,3,3,0
537,3,4,3,3,0,3
538,4,3,3,0,3,3
539,3,3,0,3,3,4
540,3,0,3,3,4,3
541,0,3,3,4,3,4
542,3,3,4,3,4,0
543,3,4,3,4,0,0
544,4,3,4,0,0,3
545,3,4,0,0,3,3
546,4,0,0,3,3,3
547,0,0,3,3,3,3
548,0,3,3,3,3,0
549,3,3,3,3,0,0
550,3,3,3,0,0,0
551,3,3,0,0,0,0
552,3,0,0,0,0,3
553,0,0,0,0,3,0
554,0,0,0,3,0,0
555,0,0,3,0,0,0
556,0,3,0,0,0,3
557,3,0,0,0,3,3
558,0,0,0,3,3,4
559,0,0,3,3,4,3
560,0,3,3,4,3,3
561,3,3,4,3,3,3
562,3,4,3,3,3,3
563,4,3,3,3,3,3
