time,cpu%,mem%
20210108-100845,0.0,1.0135111540701776
20210108-100848,0.0,1.0135111540701776
20210108-100851,0.0,1.0135111540701776
20210108-100854,0.3,1.0135111540701776
20210108-100857,0.0,1.0135111540701776
20210108-100900,0.0,1.0135111540701776
20210108-100903,0.0,1.0135111540701776
20210108-100906,0.7,1.0135111540701776
20210108-100909,0.0,1.0135111540701776
20210108-100912,0.0,1.0135111540701776
20210108-100915,0.0,1.0135111540701776
20210108-100918,0.0,1.0135111540701776
20210108-100921,5.7,1.0226145840348917
20210108-100924,0.0,1.0226145840348917
20210108-100927,0.0,1.0226145840348917
20210108-100930,0.3,1.0226145840348917
20210108-100933,0.0,1.0226145840348917
20210108-100936,0.0,1.0226145840348917
20210108-100939,0.0,1.0226145840348917
20210108-100942,0.0,1.0226145840348917
20210108-100945,0.0,1.0226145840348917
20210108-100948,0.3,1.0226145840348917
20210108-100951,0.3,1.0226145840348917
20210108-100954,0.0,1.0226145840348917
20210108-100957,0.0,1.0226145840348917
20210108-101000,0.0,1.0226145840348917
20210108-101003,0.0,1.0226145840348917
20210108-101006,0.3,1.0226145840348917
20210108-101009,0.0,1.0226145840348917
20210108-101012,0.0,1.0226145840348917
20210108-101015,0.0,1.0226145840348917
20210108-101018,0.3,1.0226145840348917
20210108-101021,0.0,1.0226145840348917
20210108-101024,0.0,1.0226145840348917
20210108-101027,0.0,1.0226145840348917
20210108-101030,0.3,1.0226145840348917
20210108-101033,0.0,1.0226145840348917
20210108-101036,0.0,1.0226145840348917
20210108-101039,0.0,1.0226145840348917
20210108-101042,0.3,1.0226145840348917
20210108-101045,0.0,1.0226145840348917
20210108-101048,0.0,1.0226145840348917
20210108-101051,0.0,1.0226145840348917
20210108-101054,0.0,1.0226145840348917
20210108-101057,0.3,1.0226145840348917
20210108-101100,0.3,1.0226145840348917
20210108-101103,0.0,1.0226145840348917
20210108-101106,0.0,1.0226145840348917
20210108-101109,0.0,1.0226145840348917
20210108-101112,0.0,1.0226145840348917
20210108-101115,0.3,1.0226145840348917
20210108-101118,0.0,1.0226145840348917
20210108-101121,0.0,1.0226145840348917
20210108-101124,0.0,1.0226145840348917
20210108-101127,0.3,1.0226145840348917
20210108-101130,0.0,1.0226145840348917
20210108-101133,0.0,1.0226145840348917
20210108-101136,0.0,1.0226145840348917
20210108-101139,0.0,1.0226145840348917
20210108-101142,0.3,1.0226145840348917
20210108-101145,0.0,1.0226145840348917
20210108-101148,0.0,1.0226145840348917
20210108-101151,0.3,1.0226145840348917
20210108-101154,0.0,1.0226145840348917
20210108-101157,0.3,1.0226145840348917
20210108-101200,0.0,1.0226145840348917
20210108-101203,0.3,1.0226145840348917
20210108-101206,0.0,1.0226145840348917
20210108-101209,0.0,1.0226145840348917
20210108-101212,0.0,1.0226145840348917
20210108-101215,0.3,1.0226145840348917
20210108-101218,0.0,1.0226145840348917
20210108-101221,0.0,1.0226145840348917
20210108-101224,0.0,1.0226145840348917
20210108-101227,0.0,1.0226145840348917
20210108-101230,0.0,1.0226145840348917
20210108-101233,0.0,1.0226145840348917
20210108-101236,0.3,1.0226145840348917
20210108-101239,0.3,1.0226145840348917
20210108-101242,0.0,1.0226145840348917
20210108-101245,0.0,1.0226145840348917
20210108-101248,0.0,1.0226145840348917
20210108-101251,0.3,1.0226145840348917
20210108-101254,0.0,1.0226145840348917
20210108-101257,0.0,1.0226145840348917
20210108-101300,0.0,1.0226145840348917
20210108-101303,0.0,1.0226145840348917
20210108-101306,0.3,1.0226145840348917
20210108-101309,0.0,1.0226145840348917
20210108-101312,0.0,1.0226145840348917
20210108-101315,67.2,0.9801643002101077
20210108-101318,0.3,0.9801643002101077
20210108-101321,0.0,0.9801643002101077
20210108-101324,0.0,0.9801643002101077
20210108-101327,0.0,0.9801643002101077
20210108-101330,0.0,0.9801643002101077
20210108-101333,1.0,0.9801643002101077
20210108-101336,0.0,0.9801643002101077
20210108-101339,0.0,0.9801643002101077
20210108-101342,0.0,0.9801643002101077
20210108-101345,0.0,0.9801643002101077
20210108-101348,0.3,0.9801643002101077
20210108-101351,0.0,0.9801643002101077
20210108-101354,0.0,0.9801643002101077
20210108-101357,0.0,0.9801643002101077
20210108-101400,0.3,0.9801643002101077
20210108-101403,0.0,0.9801643002101077
20210108-101406,0.0,0.9801643002101077
20210108-101409,0.0,0.9801643002101077
20210108-101412,0.3,0.9801643002101077
20210108-101415,0.0,0.9801643002101077
20210108-101418,0.0,0.9801643002101077
20210108-101421,0.0,0.9801643002101077
20210108-101424,0.0,0.9801643002101077
20210108-101427,0.3,0.9801643002101077
20210108-101430,0.0,0.9801643002101077
20210108-101433,6.7,1.0015048291600777
20210108-101436,0.0,1.0015048291600777
20210108-101439,0.3,1.0015048291600777
20210108-101442,0.0,1.0015048291600777
20210108-101445,0.0,1.0015048291600777
20210108-101448,0.0,1.0015048291600777
20210108-101451,0.3,1.0015048291600777
20210108-101454,0.0,1.0015048291600777
20210108-101457,0.0,1.0015048291600777
20210108-101500,0.0,1.0015048291600777
20210108-101503,0.0,1.0015048291600777
20210108-101506,0.3,1.0015048291600777
20210108-101509,0.0,1.0015048291600777
20210108-101512,0.0,1.0015048291600777
20210108-101515,0.3,1.0015048291600777
20210108-101518,0.0,1.0015048291600777
20210108-101521,0.0,1.0015048291600777
20210108-101524,0.0,1.0015048291600777
20210108-101527,0.0,1.0015048291600777
20210108-101530,0.7,1.0015048291600777
20210108-101533,0.0,1.0015048291600777
20210108-101536,0.0,1.0015048291600777
20210108-101539,0.0,1.0015048291600777
20210108-101542,0.0,1.0015048291600777
20210108-101545,0.0,1.0015048291600777
20210108-101548,0.3,1.0015048291600777
20210108-101551,0.0,1.0015048291600777
20210108-101554,0.3,1.0015048291600777
20210108-101557,0.0,1.0015048291600777
20210108-101600,0.0,1.0015048291600777
20210108-101603,0.0,1.0015048291600777
20210108-101606,0.3,1.0015048291600777
20210108-101609,0.0,1.0015048291600777
20210108-101612,0.0,1.0015048291600777
20210108-101615,0.0,1.0015048291600777
20210108-101618,0.0,1.0015048291600777
20210108-101621,0.0,1.0015048291600777
20210108-101624,0.0,1.0015048291600777
20210108-101627,0.7,1.0015048291600777
20210108-101630,0.0,1.0015048291600777
20210108-101633,0.0,1.0015048291600777
20210108-101636,0.0,1.0015048291600777
20210108-101639,0.0,1.0015048291600777
20210108-101642,0.0,1.0015048291600777
20210108-101645,0.0,1.0015048291600777
20210108-101648,0.3,1.0015048291600777
20210108-101651,0.0,1.0015048291600777
20210108-101654,0.0,1.0015048291600777
20210108-101657,0.0,1.0015048291600777
20210108-101700,0.0,1.0015048291600777
20210108-101703,0.3,1.0015048291600777
20210108-101706,0.0,1.0015048291600777
20210108-101709,0.0,1.0015048291600777
20210108-101712,0.3,1.0015048291600777
20210108-101715,0.3,1.0015048291600777
20210108-101718,0.0,1.0015048291600777
20210108-101721,0.0,1.0015048291600777
20210108-101724,0.0,1.0015048291600777
20210108-101727,0.0,1.0015048291600777
20210108-101730,0.0,1.0015048291600777
20210108-101733,0.3,1.0015048291600777
20210108-101736,0.0,1.0015048291600777
20210108-101739,0.0,1.0015048291600777
20210108-101742,0.3,1.0015048291600777
20210108-101745,0.0,1.0015048291600777
20210108-101748,7.3,1.0310013997662257
20210108-101751,57.0,0.9278089501595408
20210108-101754,0.0,0.9278089501595408
20210108-101757,0.0,0.9278089501595408
20210108-101800,0.3,0.9278089501595408
20210108-101803,0.0,0.9278089501595408
20210108-101806,0.7,0.9278089501595408
20210108-101809,0.0,0.9278089501595408
20210108-101812,0.3,0.9278089501595408
20210108-101815,0.0,0.9278089501595408
20210108-101818,0.0,0.9278089501595408
20210108-101821,0.0,0.9278089501595408
20210108-101824,0.3,0.9278089501595408
20210108-101827,0.0,0.9278089501595408
20210108-101830,0.0,0.9278089501595408
20210108-101833,0.0,0.9278089501595408
20210108-101836,0.3,0.9278089501595408
20210108-101839,0.0,0.9278089501595408
20210108-101842,0.0,0.9278089501595408
20210108-101845,0.0,0.9278089501595408
20210108-101848,0.3,0.9278089501595408
20210108-101851,0.0,0.9278089501595408
20210108-101854,0.0,0.9278089501595408
20210108-101857,0.0,0.9278089501595408
20210108-101900,0.3,0.9278089501595408
20210108-101903,0.0,0.9278089501595408
20210108-101906,6.0,0.9652429343506664
20210108-101909,0.0,0.9652429343506664
20210108-101912,0.0,0.9652429343506664
20210108-101915,0.3,0.9652429343506664
20210108-101918,0.0,0.9652429343506664
20210108-101921,0.0,0.9652429343506664
20210108-101924,0.0,0.9652429343506664
20210108-101927,0.3,0.9652429343506664
20210108-101930,0.0,0.9652429343506664
20210108-101933,0.0,0.9652429343506664
20210108-101936,0.0,0.9652429343506664
20210108-101939,0.0,0.9652429343506664
20210108-101942,0.3,0.9652429343506664
20210108-101945,0.0,0.9652429343506664
20210108-101948,0.0,0.9652429343506664
20210108-101951,0.3,0.9652429343506664
20210108-101954,0.0,0.9652429343506664
20210108-101957,0.0,0.9652429343506664
20210108-102000,0.0,0.9652429343506664
20210108-102003,0.3,0.9652429343506664
20210108-102006,0.0,0.9652429343506664
20210108-102009,0.0,0.9652429343506664
20210108-102012,0.0,0.9652429343506664
20210108-102015,0.0,0.9652429343506664
20210108-102018,0.0,0.9652429343506664
20210108-102021,0.3,0.9652429343506664
20210108-102025,0.0,0.9652429343506664
20210108-102028,0.0,0.9652429343506664
20210108-102031,0.0,0.9652429343506664
20210108-102034,0.3,0.9652429343506664
20210108-102037,0.0,0.9652429343506664
20210108-102040,0.0,0.9652429343506664
20210108-102043,0.0,0.9652429343506664
