,requests
1182,1043400
1183,1019400
1184,1005300
1185,1044000
1186,1028550
1187,1033800
1188,1014150
1189,939300
1190,994200
1191,1005900
1192,996150
1193,1045500
1194,1006200
1195,1023600
1196,963000
1197,970200
1198,1014450
1199,926100
1200,988500
1201,987750
1202,960150
1203,1010250
1204,937200
1205,875250
1206,966750
1207,1007400
1208,959400
1209,1030800
1210,960150
1211,962250
1212,938250
1213,923700
1214,930600
1215,905850
1216,902250
1217,840900
1218,883500
1219,847800
1220,821250
1221,805800
1222,925050
1223,875250
1224,907950
1225,962850
1226,923850
1227,955500
1228,923700
1229,1021350
1230,982200
1231,857850
1232,815100
1233,817500
1234,909600
1235,889350
1236,873150
1237,856200
1238,879900
1239,811950
1240,808650
1241,805350
1242,822600
1243,771000
1244,706350
1245,687000
1246,807300
1247,831450
1248,876450
1249,914400
1250,903750
1251,859050
1252,873000
1253,852750
1254,851250
1255,829800
1256,890400
1257,934350
1258,952050
1259,969150
1260,898200
1261,907200
1262,925500
1263,897150
1264,870900
1265,860250
1266,836550
1267,876150
1268,877650
1269,775350
1270,798450
1271,747000
1272,745050
1273,765300
1274,720600
1275,699450
1276,700350
1277,692400
1278,647400
1279,707550
1280,496050
1281,363150
1282,650100
1283,449700
1284,613350
1285,444450
1286,161100
1287,537900
1288,253650
1289,270000
1290,71550
1291,244950
1292,282150
1293,492450
1294,407100
1295,102000
1296,285900
1297,15600
1298,21750
1299,104250
1300,67500
1301,121800
1302,247800
1303,165300
1304,567600
1305,555750
1306,606300
1307,193950
1308,383400
1309,394500
1310,139200
1311,495750
1312,138150
1313,22050
1314,89100
1315,260250
1316,125550
1317,128400
1318,341250
1319,157050
1320,49650
1321,418950
1322,254100
1323,413400
1324,384600
1325,118350
1326,234150
1327,457800
1328,9600
1329,71700
1330,360450
1331,90750
1332,285750
1333,118500
1334,112650
1335,526050
1336,481800
1337,469500
1338,609150
1339,679650
1340,601950
1341,222000
1342,623100
1343,511200
1344,552150
1345,471450
1346,324750
1347,533550
1348,321000
1349,247950
1350,355050
1351,321750
1352,41700
1353,188250
1354,316500
1355,118650
1356,47850
1357,64050
1358,401250
1359,390600
1360,167700
1361,163800
1362,67650
1363,110250
1364,450
1365,143700
1366,320100
1367,208500
1368,7050
1369,367950
1370,19350
1371,360900
1372,55950
1373,750
1374,144150
1375,120450
1376,58350
1377,87900
1378,408450
1379,686100
1380,474450
1381,622200
1382,584400
1383,502650
1384,632700
1385,784650
1386,586950
1387,177900
1388,341400
1389,177600
1390,406500
1391,399600
1392,827250
1393,691800
1394,720000
1395,639450
1396,350100
1397,679800
1398,461250
1399,367350
1400,101100
1401,418650
1402,692100
1403,664650
1404,676650
1405,673800
1406,709350
1407,594900
1408,235200
1409,281850
1410,633150
1411,675900
1412,737400
1413,789750
1414,663450
1415,809250
1416,756600
1417,797700
1418,754950
1419,818850
1420,775800
1421,661350
1422,802950
1423,551400
1424,771000
1425,865500
1426,794250
1427,836100
1428,880350
1429,977250
1430,942900
1431,859800
1432,784500
1433,770400
1434,733800
1435,731100
1436,708900
1437,874200
1438,937350
1439,824550
1440,737250
1441,738150
1442,700200
1443,580350
1444,609000
1445,876450
1446,937950
1447,978450
1448,1009050
1449,1049100
1450,1166250
1451,1203450
1452,1137750
1453,1025100
1454,1038750
1455,1037400
1456,1098600
1457,1045350
1458,1022100
1459,1045500
1460,1047300
1461,1066500
1462,1006200
1463,967050
1464,1054500
1465,1067700
1466,1050900
1467,981000
1468,988200
1469,959100
1470,841800
1471,869550
1472,953250
1473,923700
1474,875250
1475,701700
1476,759000
1477,837900
1478,786750
1479,972600
1480,786600
1481,756450
1482,767850
1483,964800
1484,825300
1485,937800
1486,964050
1487,927150
1488,954600
1489,966750
1490,932400
1491,937950
1492,842250
1493,864150
1494,780150
1495,798900
1496,749400
1497,795300
1498,798750
1499,771450
1500,820650
1501,815700
1502,763200
1503,911100
1504,819150
1505,769050
1506,761850
1507,737850
1508,761700
1509,750150
1510,781650
1511,813900
1512,814950
1513,824100
1514,771150
1515,792000
1516,825150
1517,810150
1518,809850
1519,774900
1520,714600
1521,846750
1522,904200
1523,818550
1524,840900
1525,773550
1526,661650
1527,636000
1528,700050
1529,648750
1530,663300
1531,587700
1532,601800
1533,586200
1534,761700
1535,773850
1536,815100
1537,656250
1538,584100
1539,433350
1540,203100
1541,588150
1542,394200
1543,542700
1544,582000
1545,607500
1546,506100
1547,497700
1548,582750
1549,442350
1550,280350
1551,674250
1552,273450
1553,177450
1554,333600
1555,202350
1556,406350
1557,636300
1558,572850
1559,408750
1560,570900
1561,428100
1562,252000
1563,512100
1564,452100
1565,469200
1566,657900
1567,495300
1568,411150
1569,428850
1570,534150
1571,269700
1572,655050
1573,628950
1574,373500
1575,636150
1576,277650
1577,321300
1578,298500
1579,469650
1580,61800
1581,88050
1582,392400
1583,91350
1584,289950
1585,87750
1586,15900
1587,125400
1588,135600
1589,312900
1590,273000
1591,775200
1592,722550
1593,534000
1594,33900
1595,750
1596,144150
1597,21300
1598,16500
1599,10950
1600,6600
1601,36300
1602,12900
1603,125400
1604,9900
1605,300
1606,116100
1607,102150
1608,223950
1609,257400
1610,48600
1611,25950
1612,97650
1613,42900
1614,230100
1615,294450
1616,30300
1617,276150
1618,175350
1619,145350
1620,306300
1621,211050
1622,300
1623,179550
1624,147750
1625,143250
1626,210750
1627,153750
1628,127800
1629,637200
1630,583800
1631,55200
1632,316350
1633,84450
1634,71550
1635,381750
1636,379650
1637,188550
1638,174750
1639,337650
1640,223200
1641,224250
1642,533550
1643,262500
1644,64500
1645,94950
1646,161550
1647,606300
1648,129600
1649,267900
1650,10950
1651,96150
1652,84750
1653,173850
1654,295050
1655,61800
1656,18300
1657,104550
1658,48450
1659,97950
1660,300
1661,300
1662,300
1663,162000
1664,27450
1665,43050
1666,242700
1667,698850
1668,705150
1669,861600
1670,698250
1671,559800
1672,254850
1673,685350
1674,710100
1675,693300
1676,757800
1677,613800
1678,716250
1679,809250
1680,710100
1681,294600
1682,529650
1683,717600
1684,677250
1685,846450
1686,773850
1687,784650
1688,777000
1689,709800
1690,778350
1691,867300
1692,754800
1693,758550
1694,772350
1695,762450
1696,394800
1697,539400
1698,551850
1699,558450
1700,622650
1701,777450
1702,827100
1703,807000
1704,771450
1705,749700
1706,712950
1707,679200
1708,746100
1709,848550
1710,856800
1711,859050
1712,878550
1713,826950
1714,861300
1715,892500
1716,918750
1717,864750
1718,919800
1719,781500
1720,748800
1721,677400
1722,872550
1723,827850
1724,591600
1725,811350
1726,948000
1727,973500
1728,887700
1729,864300
1730,854100
1731,1009950
1732,1056600
1733,959700
1734,1083600
1735,1012200
1736,957750
1737,976200
1738,1075500
1739,1187700
1740,1199700
1741,1129050
1742,1101300
1743,1045950
1744,992550
1745,1000350
1746,964800
1747,1002600
1748,1063350
1749,1024200
1750,1055550
1751,972150
1752,998250
1753,933000
1754,974400
1755,1040100
1756,991350
1757,860850
1758,988200
1759,944700
1760,814050
1761,1006200
1762,1019400
1763,897150
1764,913500
1765,1003500
1766,894600
1767,944250
1768,929850
1769,909000
1770,821550
1771,846900
1772,794400
1773,922350
1774,1009800
1775,961500
1776,958050
1777,945450
1778,873750
1779,986550
1780,978300
1781,938250
1782,1003500
1783,976500
1784,876600
1785,952200
1786,997650
1787,967800
1788,975600
1789,897750
1790,900900
1791,752250
1792,778650
1793,756450
1794,796800
1795,802650
1796,784200
1797,858450
1798,1014600
1799,940650
1800,961050
1801,970350
1802,885600
1803,997800
1804,934050
1805,922050
1806,948600
1807,917850
1808,932850
1809,847950
1810,935250
1811,978450
1812,973500
1813,867450
1814,957450
1815,894000
1816,907800
1817,946350
1818,899400
1819,915450
1820,903900
1821,915450
1822,927900
1823,936600
1824,1007550
1825,919200
1826,870000
1827,876300
1828,840450
1829,782700
1830,764700
1831,856800
1832,823650
1833,686700
1834,752850
1835,811800
1836,856200
1837,854850
1838,820200
1839,792150
1840,691200
1841,783300
1842,779700
1843,649050
1844,280350
1845,746400
1846,809100
1847,898500
1848,731250
1849,790200
1850,679200
1851,701550
1852,765300
1853,686850
1854,715800
1855,681450
1856,846150
1857,819750
1858,862050
1859,848100
1860,850500
1861,711000
1862,655650
1863,612600
1864,694350
1865,644850
1866,696150
1867,719100
1868,703050
1869,846900
1870,882900
1871,854400
1872,931050
1873,901200
1874,874050
1875,922650
1876,855450
1877,813000
1878,829650
1879,840600
1880,759450
1881,795450
1882,768300
1883,676350
1884,653400
1885,664350
1886,612600
1887,669450
1888,653100
1889,556350
1890,534150
1891,643050
1892,553950
1893,695850
1894,713250
1895,682650
1896,744900
1897,631650
1898,615450
1899,526650
1900,688950
1901,269250
1902,535200
1903,495300
1904,616350
1905,487200
1906,606000
1907,650700
1908,738900
1909,649050
1910,681000
1911,709650
1912,609300
1913,611550
1914,710700
1915,635100
1916,238050
1917,82950
1918,759150
1919,652800
1920,646950
1921,634950
1922,695850
1923,697800
1924,711300
1925,663600
1926,586650
1927,687750
1928,497250
1929,628050
1930,747000
1931,631650
1932,376800
1933,266400
1934,122700
1935,292500
1936,535800
1937,602550
1938,505200
1939,431400
1940,291000
1941,238200
1942,339600
1943,74550
1944,41550
1945,750
1946,300
1947,4350
1948,315750
1949,646350
1950,395100
1951,195000
1952,96750
1953,17400
1954,327750
1955,714600
1956,709650
1957,678900
1958,661950
1959,676500
1960,410550
1961,449400
1962,375900
1963,151050
1964,99450
1965,396900
1966,524250
1967,600750
1968,707700
1969,759900
1970,727200
1971,610950
1972,651900
1973,664200
1974,742050
1975,701550
1976,783600
1977,892200
1978,772350
1979,605100
1980,539100
1981,385950
1982,678300
1983,501300
1984,126450
1985,636900
1986,572400
1987,450300
1988,588900
1989,773700
1990,729300
1991,749550
1992,717000
1993,579300
1994,287250
1995,541800
1996,783150
1997,861750
1998,889500
1999,815850
2000,836250
2001,800850
2002,733800
2003,755550
2004,942600
2005,888450
2006,839400
2007,910500
2008,802650
2009,822750
2010,813450
2011,934650
2012,863100
2013,816300
2014,881550
2015,1006350
2016,830400
2017,749700
2018,670950
2019,905250
2020,934200
2021,949350
2022,1063800
2023,991800
2024,1225650
2025,1223400
2026,1128450
2027,1037850
2028,1053000
2029,1046850
2030,1030950
2031,1041000
2032,1069800
2033,1092600
2034,1000500
2035,1010700
2036,1010550
2037,1051350
2038,1072650
2039,990600
2040,1026900
2041,1097850
2042,1041300
2043,1057050
2044,1019100
