,requests
662,2784.8572
663,3558.983
664,4422.6255
665,4598.4365
666,4309.2197
667,4446.348
668,4167.903
669,4234.7827
670,4404.0767
671,3837.7031
672,3610.1675
673,4006.8984
674,3369.912
675,3081.3518
676,2252.378
677,2859.2666
678,3426.7974
679,3935.0269
680,3615.6587
681,3449.1506
682,3544.8457
683,3443.4712
684,3771.0225
685,4367.328
686,4199.381
687,3140.2769
688,3282.1077
689,3256.0703
690,2999.3135
691,3981.87
692,2708.7227
693,2976.229
694,309.67343
695,214.90887
696,2003.194
697,3108.3389
698,1467.8951
699,174.98701
700,19.544458
701,520.9506
702,1.4723678
703,100.47242
704,1.4723678
705,1.4723678
706,170.06508
707,1.4723678
708,1.4723678
709,3213.9375
710,3275.169
711,3497.484
712,1.4723678
713,1.4723678
714,1.4723678
715,1.4723678
716,1.4723678
717,1.4723678
718,1.4723678
719,1.4723678
720,1.4723678
721,3864.3257
722,557.4125
723,4092.0164
724,4542.7246
725,4987.651
726,5102.183
727,5419.035
728,4752.2925
729,4272.418
730,4061.2466
731,4196.413
732,3958.1423
733,4476.747
734,4340.379
735,4848.0405
736,4430.8887
737,4376.1665
738,4338.9805
739,4611.439
740,4227.6577
741,3887.1724
742,3856.9395
743,3587.2012
744,3427.8335
745,4159.205
746,3902.2095
747,3262.9294
748,3378.9773
749,3393.8323
750,3820.6814
751,4709.092
752,4387.383
753,4382.965
754,4350.3516
755,4746.3555
756,4700.8794
757,5310.55
758,4977.76
759,4664.515
760,4265.6333
761,4415.878
762,3918.8801
763,4047.1943
764,3295.0166
765,2165.9458
766,1395.8419
767,550.02563
768,302.66473
769,3015.915
770,1.4723678
771,1.4723678
772,1605.2738
773,1.4723678
774,1.4723678
775,144.77473
776,1.4723678
777,1.4723678
778,1.4723678
779,1.4723678
780,1.4723678
781,4256.5977
782,3148.2131
783,3054.4868
784,3242.7378
785,3896.4753
786,4095.2104
787,4447.386
788,3570.3823
789,3756.3262
790,4458.7617
791,4680.777
792,4432.638
793,4675.1733
794,4353.6597
795,4670.1465
796,4843.518
797,4763.1323
798,4194.4824
799,4063.847
800,3220.8518
801,4335.142
802,4595.508
803,4584.362
804,4471.3115
805,4930.8013
806,4995.5166
807,4932.9985
808,4701.7295
809,4591.435
810,4300.5137
811,4719.7783
812,4341.999
813,4445.8438
814,4588.7363
815,4456.285
816,4705.6416
817,5230.916
818,5090.571
819,5183.9414
820,4845.338
821,4522.2773
822,4107.1997
823,4448.364
824,4536.501
825,4577.3403
826,4658.452
827,5056.8867
828,4790.1904
829,4907.094
830,4329.3223
831,4001.9565
832,4122.4644
833,4039.73
834,4304.752
835,4534.939
836,4177.2227
837,4059.8699
838,4239.7896
839,3929.6387
840,4065.8594
841,4776.535
842,4354.745
843,4459.2617
844,4622.5293
845,4324.427
846,3713.8623
847,3774.0544
848,1471.9895
849,167.85217
850,1.4723678
851,1.4723678
852,1.4723678
853,1.4723678
854,1.4723678
855,1.4723678
856,1.4723678
857,1.4723678
858,1.4723678
859,3129.3274
860,3664.1743
861,1299.2352
862,1813.17
863,2869.083
864,3310.7314
865,4096.3726
866,4084.2764
867,4532.0967
868,3548.238
869,274.35388
870,1.4723678
871,3512.8284
872,1.4723678
873,1.4723678
874,1.4723678
875,1.4723678
876,1.4723678
877,3491.5996
878,2981.805
879,2044.2919
880,3292.4575
881,3036.9673
882,2590.0325
883,3891.4924
884,3163.8113
885,216.21924
886,96.81438
887,1.5198956
888,155.83864
889,3413.6548
890,266.89355
891,1.4723678
892,1.4723678
893,1.4723678
894,1.4723678
895,1.4723678
896,1.4723678
897,1.4723678
898,1.4723678
899,230.4458
900,243.3657
901,4376.895
902,3772.996
903,3734.6528
904,3765.0447
905,4363.568
906,4461.101
907,4886.201
908,4412.4634
909,4602.7764
910,4645.245
911,4926.1973
912,4850.703
913,4747.64
914,4663.7666
915,4486.8174
916,4070.51
917,4027.9888
918,3805.8801
919,4018.6045
920,3442.919
921,3196.4883
922,3369.912
923,3995.5693
924,3109.267
925,3716.9492
926,202.3544
927,552.88446
928,3313.6821
929,3604.891
930,1558.3568
931,3862.954
932,3325.9285
933,3344.713
934,3401.7544
935,3246.0337
936,1997.3413
937,3911.5952
938,3462.5376
939,221.32227
940,1.4723678
