,requests
788,28125
789,454725
790,987750
791,744750
792,501075
793,747450
794,159075
795,311625
796,88650
797,31050
798,2475
799,156600
800,67500
801,289350
802,450000
803,1055925
804,891900
805,1099800
806,1188900
807,1227600
808,893025
809,580950
810,969975
811,203175
812,2475
813,841275
814,1073700
815,463950
816,297900
817,658125
818,901575
819,1022625
820,1165050
821,1068975
822,1018800
823,968175
824,809775
825,985500
826,1083375
827,1168425
828,1032075
829,1004400
830,945900
831,1060650
832,967950
833,719325
834,648000
835,66150
836,133650
837,515475
838,931050
839,1113300
840,1118250
841,1101150
842,1088100
843,1058400
844,1146600
845,1205325
846,1204425
847,1248525
848,1174950
849,1207350
850,1292175
851,1354725
852,1132875
853,1184625
854,1100925
855,1115550
856,1044675
857,1097775
858,976500
859,1054125
860,1084725
861,949950
862,1198800
863,1139850
864,1180575
865,909000
866,887625
867,1106100
868,984375
869,997650
870,1066050
871,1320750
872,1281375
873,1496475
874,1557450
875,1409175
876,1203300
877,1323900
878,1330425
879,1734750
880,1788750
881,1613925
882,1540575
883,1611900
884,1593450
885,1518750
886,1521675
887,1516275
888,1573875
889,1532475
890,1528875
891,1528425
892,1531800
893,1366425
894,1379025
895,1402200
896,1322775
897,1381500
898,1471500
899,1411425
900,1461825
901,1426950
902,1365525
903,1156950
904,1232325
905,1436625
906,1494450
907,1428075
908,1381950
909,1440000
910,1605150
911,1549350
912,1487475
913,1453725
914,1462050
915,1380150
916,1320525
917,1319175
918,1327500
919,1212075
920,1256625
921,1296675
922,1363725
923,1324125
924,1258425
925,1149300
926,1266750
927,1108575
928,1123875
929,1251675
930,1244700
931,1348425
932,1332675
933,1285200
934,1472400
935,1378575
936,1383300
937,1434825
938,949050
939,1221075
940,1041075
941,1136475
942,1298475
943,1229850
944,1135800
945,1218150
946,1313550
947,1405575
948,1376325
949,1223550
950,1127250
951,1195650
952,1512675
953,1155375
954,1165725
955,1332675
956,1223775
957,1169550
958,1007325
959,1190250
960,1285650
961,1278675
962,1297800
963,1142100
964,1152450
965,1188000
966,1239300
967,1414125
968,1473075
969,1395675
970,1512675
971,1347750
972,1316475
973,1306350
974,1160100
975,1211625
976,1180800
977,1122525
978,1090800
979,999675
980,1071675
981,1199700
982,1119150
983,1040175
984,1205325
985,1082700
986,1159200
987,1136025
988,1031850
989,766350
990,984600
991,863325
992,986625
993,1099800
994,1149525
995,1076175
996,1084725
997,1018125
998,1167075
999,1137150
1000,1052775
1001,1078650
1002,974925
1003,1090350
1004,1048725
1005,819900
1006,1135125
1007,930150
1008,859275
1009,1094625
1010,1185975
1011,1101375
1012,839925
1013,591075
1014,888525
1015,321075
1016,238950
1017,983250
1018,1010925
1019,984600
1020,1039725
1021,1029150
1022,972675
1023,905850
1024,371025
1025,668250
1026,503100
1027,262800
1028,903600
1029,776700
1030,859500
1031,276300
1032,670950
1033,474075
1034,413550
1035,564750
1036,831150
1037,558000
1038,480600
1039,1015650
1040,977625
1041,474525
1042,729000
1043,587025
1044,700200
1045,756000
1046,265050
1047,346950
1048,130500
1049,253800
1050,872325
1051,647550
1052,815850
1053,799650
1054,1085400
1055,814950
1056,937350
1057,1095750
1058,922275
1059,1001475
1060,1054800
1061,1035225
1062,1007100
1063,1095075
1064,934650
1065,977175
1066,1205325
1067,948600
1068,735075
1069,1102500
1070,900900
1071,969975
1072,582525
1073,700875
1074,445275
1075,483525
1076,765675
